Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Halopelagius inordinatus   ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,2e-07,2e-07,3e-07
Halopiger aswanensis   ,,,,,,,,,,,,,,,,,,,,2e-06,9e-07,1e-06,5e-07,8e-07,8e-07
Haloplanus sp. LZ_23S87  ,,,,,,,,,,,,,,,,,,,,,2.4e-06,2.7e-06,2.2e-06,2.6e-06,2.1e-06
Haloplanus vescus   ,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
Halorubellus salinus   ,,,,,,,,,,,,,,,,,,4e-06,,,7e-07,6e-07,9e-07,7e-07,7e-07
Halorubrum californiense   ,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07,
Halorubrum litoreum   ,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,6e-07,6e-07,8e-07
Halorubrum sp. B12-RDX  ,,,,,,,,,,,,,,,,,2e-06,,,,5e-07,2e-07,2e-07,9e-07,1.2e-06
Halorubrum sp. Ez522  ,,,,,,,,,,,,,,,,,,3e-06,,,1.2e-06,1.2e-06,1.2e-06,1.2e-06,8e-07
Halorubrum sp. EzS6  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Halorubrum sp. GS1  ,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
Halorubrum sp. L56  ,,,,,,,,,,,,,,,,2e-06,,,4e-06,3e-06,2.2e-06,1.9e-06,2.1e-06,1.6e-06,1.3e-06
Halorubrum sp. Q53  ,,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,
Halorubrum sp. SP_13S46  ,,,,,,,,,,,,,,,,,3e-06,3e-06,,,2.3e-06,2e-06,2.6e-06,1.5e-06,2.4e-06
Halorubrum sp. SYM  ,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.5e-06,1.1e-06,1.5e-06,9e-07
Halorubrum sp. VKMM019  ,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,7e-07,6e-07,5e-07
Halorubrum sp. YPL12  ,,,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07
Halorubrum sp. enrichment culture ,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,,4e-07
Halorubrum sp. halo-3  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Halorubrum sp. meg4  ,,,,,,,,,,,,,,,,2e-06,4e-06,3e-06,2e-06,,9e-07,9e-07,1.4e-06,1.9e-06,1.9e-06
Halorussus ruber   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Halosimplex carlsbadense,,,,,,,,,,,,,,,,,,,,,,1.1e-06,,8e-07,
Halosimplex carlsbadense   ,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,4e-07,2e-07
Halosimplex sp. HArcel2  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Halosimplex sp. YPL4  ,,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,9e-07,5e-07
Halosphaeriaceae sp. IT200,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Halostagnicola larsenii   ,,,,,,,,,,,,,,,,,,,,,,,5e-07,,5e-07
Halostylodinium arenarium  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Halosydna brevisetosa  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Haloterrigena sp. AB30  ,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,3e-07,5e-07,7e-07
Haloterrigena sp. EzB3  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,
Haloterrigena sp. TRM20010-17  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Haloterrigena sp. XJNU-19  ,,,,,,,,,,,,,,,,,,,,,9e-07,,,,
Haloterrigena sp. arg-4  ,,,,,,,,,,,,,,,,,,,,,,9e-07,4e-07,5e-07,
Halovenus aranensis   ,,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,
Halovenus salina   ,,,,,,,,,,,,,,,,,,,,,2.6e-06,2.8e-06,1.9e-06,2.5e-06,2.1e-06
Halovibrio sp. HB29  ,,0.004,,,,,0.0005,0.001,,0.0006,0.00037,0.00042,0.00037,0.0005,0.00028,0.000351,0.000305,0.000348,0.00036,0.000353,0.0003646,0.0003517,0.0003531,0.000352,0.0003602
Halovibrio variabilis   ,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,
Halovivax sp. B45  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Halysioncum sp. n. 3,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Hamatopeduncularia sp. n. 02,,,,,,,,,,,,,,,,,,,,,1.3e-06,9e-07,1.5e-06,6e-07,1.5e-06
Hanseniaspora uvarum,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,
Hantzschia spectabilis,,,,,,,,,,,,,,,,,2e-06,,,,2e-07,,2e-07,,2e-07
Hapalosiphon sp. SAMA 45,,,,,,,,,,,,,,,2e-05,9e-06,7e-06,6e-06,1e-05,4e-06,7.8e-06,8.5e-06,9.5e-06,8e-06,9.5e-06
Haplogonaria sp. 'schillingi' UJ-2011,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07,2e-07
Haplosporidium costale,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07,,
Haplosporidium diporeiae,,,,,,,,,,,4e-05,,7e-05,,6e-05,4.1e-05,4e-05,4.2e-05,4.2e-05,3.3e-05,4.28e-05,4.42e-05,4.47e-05,4.35e-05,4.11e-05
Haplosporidium edule,,,,,,,,,,,,,,,,,,,,,1e-06,8e-07,8e-07,7e-07,
Haplosporidium louisiana,,,,,,,,,,,,,,,,,,,,,3.7e-06,2.7e-06,3.3e-06,2.8e-06,3.2e-06
Haplosporidium pickfordi,,,,,,,,,,,,,,,,2.2e-05,1.6e-05,1.5e-05,2.5e-05,1.9e-05,2.06e-05,2.18e-05,1.9e-05,2.16e-05,1.9e-05
Haplosporidium raabei,,,,,,,,,,,,,,2e-05,,2e-06,4e-06,,,,2.4e-06,3.1e-06,3.4e-06,2.8e-06,3e-06
Haplosporidium tuxtlensis,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Haplostoma kimi,,,,,,,,,,,,,,,,,,,,,3.3e-06,,,2.5e-06,
Haplosyllis sp. 1 MTA-2011,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Haplozoon praxillellae,,,,,,,,,,,,,,,,,,,,,1.08e-05,9.9e-06,1.05e-05,9.1e-06,1.04e-05
Haptophyta environmental samples,,,,,,0.0006,,,,,0.00025,0.00037,0.00032,0.00031,0.00026,0.000278,0.000297,0.000266,0.000275,0.000287,0.0002782,0.0002794,0.0002858,0.0002858,0.000278
Harpacticoida,,,,,,,,,,,,,,,,,,,,,,7e-07,1.3e-06,,
Harpellomyces montanus,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Hartmannula derouxi,,,,,,,,,,,,,,,,,,,,,1e-06,1.4e-06,8e-07,7e-07,8e-07
Hartmannula sinica,,,,,,,,,,,,,,,3e-05,2.2e-05,8e-06,1.1e-05,1.4e-05,1.5e-05,1.37e-05,1.48e-05,1.61e-05,1.41e-05,1.43e-05
Haslea crucigera,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,4e-07,
Haslea nipkowii,,,,,,,,,,,,,,,,2.6e-05,2.4e-05,5.3e-05,3.1e-05,3.1e-05,5.11e-05,4.72e-05,5e-05,6.08e-05,5.28e-05
Hastigerina pelagica,0.063,0.082,0.081,0.07,0.089,0.062,0.0597,0.0623,0.0681,0.0631,0.06108,0.06018,0.06135,0.06117,0.06186,0.059889,0.059844,0.059907,0.059645,0.059578,0.0594798,0.0594666,0.0593647,0.0593423,0.0593334
Hastigerinella digitata,,,,,,,,,,,,,,,,,,3e-06,,,,,,,
Haynesina orbiculare,,,,,,,,,,,,,,,,,,,,,2e-07,,7e-07,,2e-07
Hebeloma cf. crustuliniforme 3 UE-2011,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Hegewaldia parvula,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Helicobacter bilis   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Helicobacter brantae   ,,,,,,,,,,,,,,,,,,,,6e-06,6e-06,5.1e-06,5.1e-06,4.8e-06,5.2e-06
Helicobacter pylori   ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Helicobacter sp. 'pancake tortoise' ,,,,,,,,,,,,,,,,,,,,,6e-07,3e-07,,6e-07,3e-07
Helicobacter sp. TMUC1563  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Heliconius melpomene,,,,,,,,,,,,,,,0.00015,,5.3e-05,7.6e-05,,,9.18e-05,8.77e-05,8.65e-05,8.64e-05,8.78e-05
Helicopedinella tricostata   ,,,,,,,,,,,,,,,,,,,,3e-06,,4e-07,4e-07,3e-07,5e-07
Helicosporidium sp. ex Simulium jonesi,,,,,,,,,,,,,,,,7e-06,,,5e-06,,3.3e-06,3.1e-06,3.1e-06,2.4e-06,2.6e-06
Heligmosomoides polygyrus,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,4e-07,4e-07,3e-07
Helioactinomyxon type 2 sp.,,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,6e-07,3e-07
Helminthosporium solani,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,5e-07,2e-07,4e-07
Helopicus bogaloosa  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,3e-07,3e-07,
Hemidinium nasutum,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Hemiselmis cryptochromatica,,,,,,,,,,,,,,,,,,,,,5.5e-06,2.3e-06,3.9e-06,,3.9e-06
Hemiselmis sp. UTEX 2000,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,,2e-07
Hemistasia phaeocysticola,,,,,,,,,,,,,,,,,,,,,8e-07,7e-07,4e-07,6e-07,8e-07
Henicolabus lewisii,,,,,,,,,,,,,,,2e-05,4e-06,5e-06,4e-06,,4e-06,4.5e-06,4.2e-06,4.3e-06,4.4e-06,4.7e-06
Henneguya basifilamentalis  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,,
Henneguya corruscans  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Henneguya eirasi  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Henneguya sp. ex Esox,,,,,,,,,,,,,,,,,,,,,,,6e-07,,
Henosepilachna laokayensis,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,3e-07
Hepatocystis sp. CRNP11,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Hepatocystis sp. MFF3,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Hepatocystis sp. PP1,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,2e-07,3e-07
Hepatozoon sipedon,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Hepatozoon sp. BT-2016 clade D,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
Hepatozoon sp. DJH-2014c,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Heppia conchiloba,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Herbertia sp. D1981,,,,,,,,,,,,,,,,5e-06,,2e-06,,,3.9e-06,3.9e-06,4e-06,3.5e-06,2.9e-06
Hermetia illucens,,,,,,,,,,,,,,,,,,,2e-06,2e-06,2e-07,,2e-07,,
Heronimus mollis  ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,
Herpetomonas sp. B08-481-B,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Herrmannella longicaudata,,,,,,,,,,,,,,,,,,,,,5.1e-06,,,,
Hesperocorixa sp. BYU ACBL027,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,3e-07,
Hesperoperla pacifica,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,4e-07,6e-07,6e-07
Heterobostrychus aequalis,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,7e-07
Heterocapsaceae environmental sample,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Heterochaerus blumi,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Heterodrilus flexuosus  ,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07,2e-07
Heterogastridium pycnidioideum,,,,,,,,,,,,,,,,,,,,,,,4e-07,,5e-07
Heterolobosea sp. EV10A,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Heterophrynus longicornis  ,,,,,,,,,,,,,,,,,,,,,3.3e-06,3.6e-06,3.9e-06,3.2e-06,4e-06
Heteroptera sp. JMU-2006-1,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Heterorhabditis bacteriophora,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Heterorhabditis zealandica,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,3e-07
Heterorhabdus tanneri,,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,
Heteroscytonema crispum,,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,3e-07,
Heterosigma akashiwo,,,,,,,,,,,,,,,,3e-06,3e-06,,,6e-06,5e-06,6.2e-06,5.7e-06,5.3e-06,5.9e-06
Heterostegina depressa diatom endosymbiont,,,,,,,,,,,,,,,,6e-06,,1.5e-05,2e-06,,8e-06,7e-06,6.7e-06,6.3e-06,7.4e-06
Heterostelium multicystogenum,,,,,,,,,,,,,,,,2e-06,,,,,2e-07,,,,
Heth sp. 1194,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Hevansia arachnophila,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Hexabathynella sevillaensis,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Hexamastix mitis   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,6e-07,2e-07
Hexatylus sp. 2 JH-2014,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Heyndrickxia acidiproducens,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,6e-07,6e-07,5e-07
Hibbertia volubilis,,,,,,,,,,,,,,,,,2e-06,,3e-06,,8e-07,6e-07,5e-07,4e-07,6e-07
Hildenbrandia rubra,,,,,,,,,,,,,,,,,,,,,9e-07,1e-06,1.1e-06,1.7e-06,1.4e-06
Hildenbrandia rubra   ,,,,,,,,,,,,,,,,,,,2e-06,,2e-06,1.8e-06,1.7e-06,2.2e-06,1.5e-06
Hippa adactyla,,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,3e-07
Hippea sp. Lau09-1128r  ,,,,,,,,,,,5e-05,,,,,2.1e-05,2.4e-05,2.1e-05,2.7e-05,,1.22e-05,1.28e-05,1.2e-05,1.43e-05,1.31e-05
Hirschioporus abietinus,,,,,,,,,,,,,,,,,2e-06,,,,1.4e-06,1.3e-06,1.3e-06,8e-07,1e-06
Hirschmanniella cf. belli ITDL-2006,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Hirschmanniella loofi,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Hirsutella citriformis,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,5e-07,9e-07,4e-07
Hirsutella minnesotensis,,,,,,,,,,,,,,,,,,,,2e-06,4e-07,9e-07,5e-07,1e-06,6e-07
Hirsutella rhossiliensis,,,,,,,,,,,,,,,,,,,,,8e-07,2e-07,5e-07,,
Hirsutocythere hanaii,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Histiona aroides,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,
Histioteuthis sp. Spain-WK,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Histriobdella homari  ,,,,,,,,,,,,,,,,7.4e-05,5.8e-05,,4e-06,4e-05,1.38e-05,1.07e-05,1.2e-05,1.6e-06,1.19e-05
Hodotermopsis sjoestedti,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,3e-07
Hoferellus gilsoni  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Hoferellus sp. 'alosae' ,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,,
Hololepta sp. C22,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,4e-07
Holoparamecus tenuis,,,,,,,,,,,,,,,,,,,,,3e-07,,,,2e-07
Holophaga sp.,,,,,,,,,,,,,,,,1.6e-05,1e-05,2.1e-05,,1.8e-05,1.12e-05,1.04e-05,8.9e-06,1.03e-05,9.4e-06
Holostephanus dubinini  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Holothrips cracens,,,,,,,,,,,,,,,,,,,,,,,,4e-07,1.7e-06
Holtermanniella nyarrowii,,,,,,,,,,,,,,,,,,,,,,,4e-07,,5e-07
Hoploplana californica,,,,,,,,,,,,,,,,,6e-06,,,,,,4e-07,7e-07,4e-07
Horia sp. UPOL ZL0115,,,,,,,,,,,,,,,,,,,,,,3e-07,,,6e-07
Hormotila blennista,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,6e-07,,
Howardula sp. SP-A,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Huanghella arctica   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Hubrechtella dubia,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
Hummondasys jamaicensis,,,,,,,,,,,,,,,,1.2e-05,1e-05,4e-06,1.2e-05,,8.1e-06,8.8e-06,7.3e-06,7.7e-06,7.7e-06
Humulus lupulus,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,4e-07,6e-07
Hungactinomyxon 'type 1' EE-2004,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Huntiella moniliformis,,,,,,,,,,,,,,,,,,2e-06,,,3e-07,,,,2e-07
Hutchinsoniella macracantha  ,,,,,,,,,,,,,,,,,,2e-06,,,1.6e-06,1e-06,1.1e-06,1.7e-06,8e-07
Hyalomonas oviformis,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,1.1e-06,1.1e-06,1.1e-06
Hyaloperonospora arabidopsidis,,,,,,,,,,,,,,3e-05,,1.6e-05,2e-05,2.8e-05,2e-05,1.5e-05,1.69e-05,1.53e-05,1.59e-05,1.73e-05,1.7e-05
Hyaloraphidium curvatum,,,,,,,,,,,,,,,,,5e-06,,,,3.7e-06,4.1e-06,3.3e-06,3.8e-06,3.3e-06
Hyalosynedra sp. 1 CSL-2013,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,,
Hydatigera sp. HCFr ,,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07,
Hydra vulgaris  ,,,,,,,,,,,0.00014,,0.00012,0.00014,0.00023,0.000107,0.000137,0.000124,0.000116,0.000138,0.0001216,0.0001181,0.0001221,0.0001252,0.0001194
Hydrochus angustatus,,,,,,,,,,,,,,,,2e-06,,,,,9e-07,9e-07,9e-07,9e-07,1.2e-06
Hydrocleys nymphoides,,,,,,,,,,,0.00018,0.00022,0.00017,0.00024,0.00018,0.000199,0.000212,0.000172,0.000175,0.000206,0.0001904,0.000186,0.0001924,0.0001886,0.0001888
Hydrodroma sp. HPHyd010 ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,6e-07,3e-07,5e-07
Hydrogenivirga okinawensis   ,,,,,,,,,,,,,,,,,,,,,,3e-07,8e-07,7e-07,
Hydrogenobacter sp. IT-7242  ,,,,,,,,,,,,,,,,,,,,,1.1e-06,6e-07,1e-06,5e-07,1.1e-06
Hydrogenobacter sp. T-2  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Hydrogenophaga sp. FS13-1  ,,,,,,,,,,,,,,,,,,,,,1.7e-06,,,,2.7e-06
Hydrogenophaga sp. JBP-18  ,,,,,,,,,,,,,,,,,,3e-06,,,1.4e-06,1.8e-06,1.1e-06,1.6e-06,1e-06
Hydroporus vagepictus,,,,,,,,,,,,,,,,,,,,,6e-07,1.1e-06,1.3e-06,1e-06,5e-07
Hygrobates longipalpis  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Hygrocybe helobia,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Hylaeogena sp. H039,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,7e-07,4e-07
Hylobittacus apicalis,,,,,,,,,,,,,,,,4e-06,3e-06,4e-06,,6e-06,4.3e-06,5.9e-06,4.5e-06,4e-06,4.7e-06
Hymenobacter aerophilus   ,,,,,,,,,,,7e-05,,6e-05,,3e-05,3.9e-05,3.9e-05,4.8e-05,3.6e-05,2.9e-05,3.29e-05,3.62e-05,3.47e-05,3.52e-05,3.45e-05
Hymenobacter daecheongensis   ,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Hymenobacter flocculans   ,,,,,,,,,,,,,,,,,,,,,,1.4e-06,,1.2e-06,
Hymenobacter monticola   ,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,4e-07,
Hymenobacter qilianensis,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.9e-06,1.3e-06,1e-06,2e-06
Hymenobacter sp. PAMC 26628 ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,3e-07
Hymenobacter sp. R-36552  ,,,,,,,,,,,,,,,9e-05,2.4e-05,2.1e-05,2.5e-05,2.3e-05,2.5e-05,1.93e-05,1.95e-05,2.01e-05,1.95e-05,2.08e-05
Hymenobacter sp. R-36960  ,,,,,,,,,,,,,,,,,,,,,6e-07,3e-07,8e-07,7e-07,7e-07
Hymenobacter sp. WW95  ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,1.6e-06,2e-06,1.4e-06
Hymenocotta mulli  ,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,3e-07,
Hymenolepis nana  ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,2e-07,,4e-07
Hyotissa hyotis  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Hyperamoeba sp. 2 EJC,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,2e-07,5e-07,2e-07
Hyperaspidini sp. JAR-2007,,,,,,,,,,,,,,,,8e-06,4e-06,5e-06,6e-06,9e-06,5.7e-06,6.9e-06,7.1e-06,4.7e-06,6.6e-06
Hyperaspis sp. JAR-2007,,,,,,,,,,,,,,,,,,,,,1.3e-06,,,,
Hyperoscelis veternosa,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Hyphodontia sp. H Berglund 1117,,,,,,,,,,,,,,,,,,,,,1.35e-05,1.42e-05,1.46e-05,1.55e-05,1.65e-05
Hyphomonas chukchiensis   ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,2e-07
Hypoderatidae gen. sp. AD887,,,,,,,,,,,,,,,,,,2e-06,,,8e-07,1.2e-06,6e-07,9e-07,9e-07
Hypomyces aurantius,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Hyponectria buxi,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Hypothenemus setosus,,,,,,,,,,,,,,,,,3e-06,,,2e-06,1.4e-06,5e-07,7e-07,1.2e-06,1.3e-06
Hypoxylon fragiforme,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.2e-06,,,1.7e-06
Hypoxylon vogesiacum,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Hypselodoris infucata,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,2e-07,5e-07,2e-07
Hypselosoma hickmani,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,6e-07,4e-07
Hypseocharis pimpinellifolia,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,
Hyunsoonleella jejuensis   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Iais pubescens,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,6e-07,8e-07,6e-07
Ianiropsis epilittoralis,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Iasis cylindrica  ,,,,,,,,,,,,,,3e-05,,,4.1e-05,,,,3.39e-05,,3.39e-05,,3.48e-05
Iathrippa trilobatus,,,,,,,,,,,,,,,,,,,,,9e-07,9e-07,1.2e-06,5e-07,8e-07
Ichthyobodo sp.,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Ichthyodinium chabelardi ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Ichthyophaga sp.  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Ideonella sp. E5F-30  ,,,,,,,,,,,,,,,,,,,,,1e-06,1.2e-06,1e-06,1.3e-06,
Idiomarina sediminum   ,,,,,,,,,,,,,,,,,,,,,3e-07,,5e-07,,7e-07
Ihlea racovitzai  ,,,,,,,,,,,3e-05,,,3e-05,,2.5e-05,3e-05,2.4e-05,2.6e-05,2.1e-05,2.08e-05,2.44e-05,2.01e-05,2.34e-05,2.5e-05
Ikeda sp. RG-2012 ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Illex coindetii,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.4e-06,1.7e-06,1.8e-06,1.1e-06
Ilybius meridionalis,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,
Ilyobacter polytropus,,,,,,,,,,,5e-05,,,,,1.8e-05,,1.5e-05,1.9e-05,2.8e-05,1.01e-05,8.5e-06,9.2e-06,8.2e-06,9.4e-06
Imaia gigantea,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,
Inachoides laevis,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,3e-07,5e-07,
Incisitermes immigrans parabasalian symbiont clone,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Incompatibility symbiont of Nasonia giraulti,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,2e-07,3e-07
Infundibulomyces sp. NR-2006a,,,,,,,,,,,,,,,,1.9e-05,2.1e-05,1.9e-05,2.3e-05,,1.59e-05,1.65e-05,1.37e-05,1.48e-05,1.53e-05
Ischnoptera sp. 1 DJGI-2006,,,,,,,,,,,,,,,,,,,,,,,2.5e-06,,
Islandinium tricingulatum,,,,,,,,,,,,,,,,,,,,,3.6e-06,4.7e-06,8e-07,1e-05,8e-07
Isoalcanivorax pacificus,,,,,,,,,,,,,,,,,,,,,,,,5e-07,
Isocapnia hyalita  ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,
Isochrysis aff. galbana,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,4e-07,4e-07,8e-07
Isochrysis sp. 0318,,,,,,,,,,,,,,,,3e-06,3e-06,9e-06,,3e-06,3.4e-06,3.3e-06,3.5e-06,4e-06,3.6e-06
Isodiametra vexillaria,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Isolaimium sp. 2-PM-2004,,,,,,,,,,,,,,,,,,,,,4e-07,7e-07,6e-07,7e-07,6e-07
Isophysis tasmanica,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.3e-06,,1.2e-06,1.4e-06
Isoptericola sp. F84068  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
